_id,doctor,day,start_time,end_time,slot_duration_minutes,created_at,updated_at,__v
"""6a7099a40770fd734ecafb45""","""6a7099a40770fd734ecafb44""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.862Z""","""2026-08-03T13:37:40.862Z""","0"
"""6a7099a40770fd734ecafb46""","""6a7099a40770fd734ecafb44""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.865Z""","""2026-08-03T13:37:40.865Z""","0"
"""6a7099a40770fd734ecafb47""","""6a7099a40770fd734ecafb44""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.868Z""","""2026-08-03T13:37:40.868Z""","0"
"""6a7099a40770fd734ecafb48""","""6a7099a40770fd734ecafb44""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.870Z""","""2026-08-03T13:37:40.870Z""","0"
"""6a7099a40770fd734ecafb49""","""6a7099a40770fd734ecafb44""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.873Z""","""2026-08-03T13:37:40.873Z""","0"
"""6a7099a40770fd734ecafb4a""","""6a7099a40770fd734ecafb44""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.875Z""","""2026-08-03T13:37:40.875Z""","0"
"""6a7099a40770fd734ecafb4d""","""6a7099a40770fd734ecafb4c""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.883Z""","""2026-08-03T13:37:40.883Z""","0"
"""6a7099a40770fd734ecafb4e""","""6a7099a40770fd734ecafb4c""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.886Z""","""2026-08-03T13:37:40.886Z""","0"
"""6a7099a40770fd734ecafb4f""","""6a7099a40770fd734ecafb4c""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.888Z""","""2026-08-03T13:37:40.888Z""","0"
"""6a7099a40770fd734ecafb50""","""6a7099a40770fd734ecafb4c""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.889Z""","""2026-08-03T13:37:40.889Z""","0"
"""6a7099a40770fd734ecafb51""","""6a7099a40770fd734ecafb4c""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.891Z""","""2026-08-03T13:37:40.891Z""","0"
"""6a7099a40770fd734ecafb52""","""6a7099a40770fd734ecafb4c""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.895Z""","""2026-08-03T13:37:40.895Z""","0"
"""6a7099a40770fd734ecafb55""","""6a7099a40770fd734ecafb54""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.902Z""","""2026-08-03T13:37:40.902Z""","0"
"""6a7099a40770fd734ecafb56""","""6a7099a40770fd734ecafb54""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.904Z""","""2026-08-03T13:37:40.904Z""","0"
"""6a7099a40770fd734ecafb57""","""6a7099a40770fd734ecafb54""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.906Z""","""2026-08-03T13:37:40.906Z""","0"
"""6a7099a40770fd734ecafb58""","""6a7099a40770fd734ecafb54""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.908Z""","""2026-08-03T13:37:40.908Z""","0"
"""6a7099a40770fd734ecafb59""","""6a7099a40770fd734ecafb54""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.910Z""","""2026-08-03T13:37:40.910Z""","0"
"""6a7099a40770fd734ecafb5a""","""6a7099a40770fd734ecafb54""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.912Z""","""2026-08-03T13:37:40.912Z""","0"
"""6a7099a40770fd734ecafb5d""","""6a7099a40770fd734ecafb5c""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.919Z""","""2026-08-03T13:37:40.919Z""","0"
"""6a7099a40770fd734ecafb5e""","""6a7099a40770fd734ecafb5c""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.922Z""","""2026-08-03T13:37:40.922Z""","0"
"""6a7099a40770fd734ecafb5f""","""6a7099a40770fd734ecafb5c""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.924Z""","""2026-08-03T13:37:40.924Z""","0"
"""6a7099a40770fd734ecafb60""","""6a7099a40770fd734ecafb5c""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.926Z""","""2026-08-03T13:37:40.926Z""","0"
"""6a7099a40770fd734ecafb61""","""6a7099a40770fd734ecafb5c""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.927Z""","""2026-08-03T13:37:40.927Z""","0"
"""6a7099a40770fd734ecafb62""","""6a7099a40770fd734ecafb5c""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.931Z""","""2026-08-03T13:37:40.931Z""","0"
"""6a7099a40770fd734ecafb65""","""6a7099a40770fd734ecafb64""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.937Z""","""2026-08-03T13:37:40.937Z""","0"
"""6a7099a40770fd734ecafb66""","""6a7099a40770fd734ecafb64""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.939Z""","""2026-08-03T13:37:40.939Z""","0"
"""6a7099a40770fd734ecafb67""","""6a7099a40770fd734ecafb64""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.940Z""","""2026-08-03T13:37:40.940Z""","0"
"""6a7099a40770fd734ecafb68""","""6a7099a40770fd734ecafb64""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.942Z""","""2026-08-03T13:37:40.942Z""","0"
"""6a7099a40770fd734ecafb69""","""6a7099a40770fd734ecafb64""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.944Z""","""2026-08-03T13:37:40.944Z""","0"
"""6a7099a40770fd734ecafb6a""","""6a7099a40770fd734ecafb64""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.946Z""","""2026-08-03T13:37:40.946Z""","0"
"""6a7099a40770fd734ecafb6d""","""6a7099a40770fd734ecafb6c""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.953Z""","""2026-08-03T13:37:40.953Z""","0"
"""6a7099a40770fd734ecafb6e""","""6a7099a40770fd734ecafb6c""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.954Z""","""2026-08-03T13:37:40.954Z""","0"
"""6a7099a40770fd734ecafb6f""","""6a7099a40770fd734ecafb6c""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.956Z""","""2026-08-03T13:37:40.956Z""","0"
"""6a7099a40770fd734ecafb70""","""6a7099a40770fd734ecafb6c""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.958Z""","""2026-08-03T13:37:40.958Z""","0"
"""6a7099a40770fd734ecafb71""","""6a7099a40770fd734ecafb6c""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.959Z""","""2026-08-03T13:37:40.959Z""","0"
"""6a7099a40770fd734ecafb72""","""6a7099a40770fd734ecafb6c""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.961Z""","""2026-08-03T13:37:40.961Z""","0"
"""6a7099a40770fd734ecafb75""","""6a7099a40770fd734ecafb74""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.967Z""","""2026-08-03T13:37:40.967Z""","0"
"""6a7099a40770fd734ecafb76""","""6a7099a40770fd734ecafb74""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.968Z""","""2026-08-03T13:37:40.968Z""","0"
"""6a7099a40770fd734ecafb77""","""6a7099a40770fd734ecafb74""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.970Z""","""2026-08-03T13:37:40.970Z""","0"
"""6a7099a40770fd734ecafb78""","""6a7099a40770fd734ecafb74""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.972Z""","""2026-08-03T13:37:40.972Z""","0"
"""6a7099a40770fd734ecafb79""","""6a7099a40770fd734ecafb74""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.973Z""","""2026-08-03T13:37:40.973Z""","0"
"""6a7099a40770fd734ecafb7a""","""6a7099a40770fd734ecafb74""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.975Z""","""2026-08-03T13:37:40.975Z""","0"
"""6a7099a40770fd734ecafb7d""","""6a7099a40770fd734ecafb7c""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.981Z""","""2026-08-03T13:37:40.981Z""","0"
"""6a7099a40770fd734ecafb7e""","""6a7099a40770fd734ecafb7c""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.983Z""","""2026-08-03T13:37:40.983Z""","0"
"""6a7099a40770fd734ecafb7f""","""6a7099a40770fd734ecafb7c""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.984Z""","""2026-08-03T13:37:40.984Z""","0"
"""6a7099a40770fd734ecafb80""","""6a7099a40770fd734ecafb7c""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.986Z""","""2026-08-03T13:37:40.986Z""","0"
"""6a7099a40770fd734ecafb81""","""6a7099a40770fd734ecafb7c""","Friday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.987Z""","""2026-08-03T13:37:40.987Z""","0"
"""6a7099a40770fd734ecafb82""","""6a7099a40770fd734ecafb7c""","Saturday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.989Z""","""2026-08-03T13:37:40.989Z""","0"
"""6a7099a40770fd734ecafb85""","""6a7099a40770fd734ecafb84""","Monday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.994Z""","""2026-08-03T13:37:40.994Z""","0"
"""6a7099a40770fd734ecafb86""","""6a7099a40770fd734ecafb84""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.996Z""","""2026-08-03T13:37:40.996Z""","0"
"""6a7099a40770fd734ecafb87""","""6a7099a40770fd734ecafb84""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.998Z""","""2026-08-03T13:37:40.998Z""","0"
"""6a7099a40770fd734ecafb88""","""6a7099a40770fd734ecafb84""","Thursday","09:00 AM","05:00 PM","30","""2026-08-03T13:37:40.999Z""","""2026-08-03T13:37:40.999Z""","0"
